Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
23-04-2021,1343,1348.4,1331,1333.8,9800084842,163801,7316262
22-04-2021,1355.55,1364.8,1345.15,1351.1,8956080142,203956,6622446
20-04-2021,1379,1379,1342.4,1351.35,11618460456,174560,8560766
19-04-2021,1340,1379.7,1332.35,1362.55,17005547107,260647,12508028
16-04-2021,1365,1370.85,1346.6,1353.75,14785392742,285474,10879878
15-04-2021,1332.3,1366.4,1320,1360.75,34145935656,678751,25342491
13-04-2021,1433,1435.25,1375,1397.15,20721814130,453578,14855206
12-04-2021,1474,1477.55,1415,1425.75,29325012715,477964,20384532
09-04-2021,1455,1455,1430.05,1441.05,8723370112,134860,6052712
08-04-2021,1430,1451.7,1421,1439.85,8147788509,179859,5654434
07-04-2021,1410.25,1434.95,1406.6,1430.2,8361600367.55,135633,5879234
06-04-2021,1423,1426,1406.45,1411.05,8201898840,153955,5793571
05-04-2021,1391,1425,1387,1409.9,13336273565,237018,9479572
01-04-2021,1380,1391.6,1371,1385.2,7847148795,146481,5675155
31-03-2021,1382,1388,1363.3,1368.05,11268677504,218153,8220987
30-03-2021,1346.9,1400,1336.15,1385.3,14491356278,227944,10546919
26-03-2021,1344.7,1356.7,1332,1336.2,6598564525,138471,4922071
25-03-2021,1346.75,1352.5,1327.6,1333.8,11715231221,184200,8749994
24-03-2021,1357.85,1370.45,1346.25,1353.75,8328138652,143327,6134303
23-03-2021,1372.45,1383.25,1359.6,1371.55,9833991116,164495,7165335
22-03-2021,1350.1,1376,1336.1,1370.8,6593605265,129112,4862758
19-03-2021,1330,1355.2,1318,1344.45,17111330913,235459,12767112
18-03-2021,1393.75,1393.75,1313.5,1337.1,14774234435,298042,10961755
17-03-2021,1392.25,1400,1382,1387,10620025456,157640,7626744
16-03-2021,1386.05,1406,1380.5,1384,13011543030,230871,9352771
15-03-2021,1370,1379.9,1358.5,1373.6,9122082516,174194,6658665
12-03-2021,1373,1391.7,1370.05,1374.85,13068374479,199285,9462061
